◇ injected env (1) from .env // tip: ⌘ multiple files { path: ['.env.local', '.env'] }
[SERVER_INIT] EnviroPulse Core running on port 3001
[REDIS_OK] Connected to Upstash Redis
[REDIS_CONNECTED]
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.7°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.4°C, HI: 29.1°C
[PREDICT_SUCCESS] KLCC — breach prob: 95%
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.4°C, HI: 29.2°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.8°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.8°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.8°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.3°C, HI: 29.0°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.7°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.6°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.9°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.8°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.7°C, HI: 30.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.6°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.8°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.8°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.4°C, HI: 29.2°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.4°C, HI: 29.2°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.9°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.8°C
[DATA_SYNC] District: KLCC, Temp: 26.6°C, HI: 29.8°C
[DATA_SYNC] District: KLCC, Temp: 26.7°C, HI: 30.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.6°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.4°C, HI: 29.2°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.7°C, HI: 30.0°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.9°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.6°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.4°C
[DATA_SYNC] District: KLCC, Temp: 26.3°C, HI: 29.1°C
[DATA_SYNC] District: PETALING_JAYA, Temp: 26.5°C, HI: 29.3°C
[DATA_SYNC] District: SHAH_ALAM, Temp: 27.1°C, HI: 30.6°C
[DATA_SYNC] District: KLANG, Temp: 27.6°C, HI: 32.0°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.9°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.4°C, HI: 29.3°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.3°C, HI: 29.0°C
[DATA_SYNC] District: GEORGE_TOWN, Temp: 30.6°C, HI: 36.2°C
[DATA_SYNC] District: IPOH, Temp: 27.2°C, HI: 31.6°C
[DATA_SYNC] District: ALOR_SETAR, Temp: 30.8°C, HI: 36.9°C
[DATA_SYNC] District: JOHOR_BAHRU, Temp: 28.3°C, HI: 32.5°C
[DATA_SYNC] District: MELAKA_CITY, Temp: 27.4°C, HI: 32.6°C
[DATA_SYNC] District: SEREMBAN, Temp: 26.4°C, HI: 29.2°C
[DATA_SYNC] District: KUANTAN, Temp: 26.9°C, HI: 31.3°C
[DATA_SYNC] District: KOTA_BHARU, Temp: 29.9°C, HI: 37.0°C
[DATA_SYNC] District: KUCHING, Temp: 27.4°C, HI: 31.3°C
[DATA_SYNC] District: KOTA_KINABALU, Temp: 27.8°C, HI: 32.9°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.7°C, HI: 30.6°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.7°C, HI: 30.5°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.3°C, HI: 29.0°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.3°C, HI: 29.0°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.7°C, HI: 29.9°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.6°C
[PREDICT_SUCCESS] LOCAL_STATION — breach prob: 60%
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.7°C, HI: 30.5°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.7°C, HI: 30.7°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.4°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.4°C, HI: 29.1°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.3°C, HI: 28.9°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.6°C, HI: 29.8°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.7°C, HI: 30.5°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.3°C, HI: 29.0°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.7°C, HI: 30.5°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.3°C, HI: 29.0°C
[DATA_SYNC] District: LOCAL_STATION, Temp: 26.5°C, HI: 29.3°C
